ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {time.time}
        7    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        2    0.000    0.000    0.000    0.000 sre_parse.py:236(_class_escape)
        2    0.000    0.000    0.000    0.000 __init__.py:214(_releaseLock)
        3    0.000    0.000    0.000    0.000 __init__.py:177(_checkLevel)
        1    0.000    0.000    0.000    0.000 numbers.py:270(Rational)
        1    0.000    0.000    0.000    0.000 {PIL._imagingtk.tkinit}
        3    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 Tkinter.py:2139(Button)
        5    0.000    0.000    0.000    0.000 threading.py:59(__init__)
       61    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 threading.py:561(__init__)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:130(<dictcomp>)
        1    0.000    0.000    0.000    0.000 collections.py:395(Counter)
        1    0.000    0.000    0.000    0.000 io.py:69(IOBase)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:56(BmpImageFile)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2048(BaseWidget)
       13    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {method 'acquire' of 'thread.lock' objects}
        1    0.000    0.000    0.000    0.000 UserDict.py:4(__init__)
        8    0.000    0.000    0.000    0.000 {max}
        1    0.000    0.000    0.000    0.000 Tkinter.py:1790(Tk)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1918(Pack)
        1    0.000    0.000    0.000    0.000 threading.py:373(notify)
        3    0.000    0.000    0.000    0.000 __init__.py:579(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:255(_Condition)
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
        3    0.000    0.000    0.000    0.000 {range}
        2    0.000    0.000    0.000    0.000 Tkinter.py:1054(bind)
        1    0.000    0.000    0.000    0.000 {_codecs.charmap_decode}
        1    0.000    0.000    0.000    0.000 ImageTk.py:77(PhotoImage)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1319(configure)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(Iterator)
        1    0.000    0.000    0.000    0.000 cp1252.py:14(decode)
       17    0.000    0.000    0.000    0.000 {method '__subclasshook__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 threading.py:125(_RLock)
        1    0.000    0.000    0.000    0.000 __init__.py:1393(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 ntpath.py:43(normcase)
        1    0.000    0.000    0.000    0.000 __init__.py:574(Filterer)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1457(grid_rowconfigure)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2879(Scrollbar)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3295(Image)
        1    0.000    0.000    0.000    0.000 threading.py:132(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:938(winfo_screenwidth)
        1    0.000    0.000    0.000    0.000 __init__.py:332(CDLL)
        1    0.000    0.000    0.000    0.000 ImageFile.py:75(ImageFile)
        5    0.000    0.000    0.000    0.000 threading.py:64(_note)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3813(Tributton)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:276(PngStream)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:296(JpegImageFile)
        1    0.000    0.000    0.000    0.000 {_ctypes.set_conversion_mode}
        1    0.000    0.000    0.000    0.000 Tkinter.py:2459(Checkbutton)
        3    0.000    0.000    0.000    0.000 __init__.py:494(CFunctionType)
        1    0.000    0.000    0.000    0.000 threading.py:552(_Event)
        6    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:92(ChunkStream)
        1    0.000    0.000    0.000    0.000 __init__.py:883(FileHandler)
        1    0.000    0.000    0.000    0.000 ImageTk.py:211(BitmapImage)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:23(ImagePalette)
